Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
adb		Public	Yes	Allow	No	C:\platform-tools\adb.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
adb.exe		Public	Yes	Allow	No	C:\users\fibinmn\appdata\local\android\sdk\platform-tools\adb.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Antigravity		Public	Yes	Allow	No	C:\users\fibinmn\appdata\local\programs\antigravity\antigravity.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
BlueStacks Service		All	Yes	Allow	No	C:\Program Files\BlueStacks_nxt\HD-Player.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
BlueStacksAppplayerWeb		All	Yes	Allow	No	C:\Program Files\BlueStacks_nxt\BlueStacksAppplayerWeb.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
BlueStacksWeb		All	Yes	Allow	No	C:\Program Files (x86)\BlueStacks X\BlueStacksWeb.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
ChatGPT		Public	Yes	Allow	No	C:\program files\windowsapps\openai.chatgpt-desktop_1.2025.328.0_x64__2p2nqsd0c76g0\app\chatgpt.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Cloud Game		All	Yes	Allow	No	C:\Program Files (x86)\BlueStacks X\Cloud Game.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
DaVinci Resolve		Public	Yes	Allow	No	C:\program files\blackmagic design\davinci resolve\resolve.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
DaVinci Resolve		Public	Yes	Allow	No	C:\program files\blackmagic design\davinci resolve\resolve.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
DaVinciResolve		Private	Yes	Allow	No	C:\Program Files\Blackmagic Design\DaVinci Resolve\Resolve.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
DaVinciResolveTangent		Private	Yes	Allow	No	C:\Program Files\Blackmagic Design\DaVinci Resolve\TangentPanelDaemon.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
fdm.exe		Public	Yes	Allow	No	C:\users\fibinmn\appdata\local\programs\softdeluxe\free download manager\fdm.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Firefox (C:\Program Files\Mozilla Firefox)		Private	Yes	Allow	No	C:\Program Files\Mozilla Firefox\firefox.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Firefox (C:\Program Files\Mozilla Firefox)		Private	Yes	Allow	No	C:\Program Files\Mozilla Firefox\firefox.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any
Google Play Games Service		All	Yes	Allow	No	C:\Program Files\Google\Play Games\current\emulator\crosvm.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Google Play Games Service		All	Yes	Allow	No	C:\Program Files\Google\Play Games\current\emulator\crosvm.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Microsoft Office Outlook		Public	Yes	Allow	No	C:\Program Files\Microsoft Office\root\Office16\outlook.exe	Any	Any	UDP	6004	Any	Any	Any	Any	Any	None	Any	
node.exe		Public	Yes	Allow	No	C:\users\fibinmn\appdata\local\nvm\v25.0.0\node.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
postman.exe		Public	Yes	Allow	No	C:\users\fibinmn\appdata\local\postman\app-11.72.8\postman.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
